1.0 C n79 M1
501.9000000000456 CONN n510 n67 up
502.10000000004567 CONN n866 n478 down
503.30000000004594 CONN n25 n499 up
504.5000000000462 CONN n499 n882 up
504.9000000000463 CONN n693 n541 up
505.3000000000464 CONN n950 n413 up
505.4000000000464 CONN n1032 n499 down
506.1000000000466 CONN n59 n422 down
506.1000000000466 CONN n65 n475 down
506.2000000000466 CONN n499 n57 up
508.4000000000471 CONN n950 n42 up
510.00000000004746 CONN n729 n510 up
511.4000000000478 CONN n510 n210 down
512.2000000000479 CONN n950 n729 down
513.1000000000481 CONN n75 n42 down
514.6000000000485 CONN n448 n693 down
514.7000000000485 CONN n300 n781 down
515.1000000000486 CONN n448 n510 up
515.8000000000487 CONN n422 n882 up
516.800000000049 CONN n950 n67 down
517.5000000000491 CONN n25 n422 up
517.8000000000492 CONN n6 n38 up
518.8000000000494 CONN n510 n882 down
519.0000000000495 CONN n693 n729 up
519.4000000000495 CONN n422 n57 up
520.1000000000497 CONN n510 n25 down
520.1000000000497 CONN n42 n413 up
520.7000000000498 CONN n57 n510 down
522.4000000000502 CONN n1032 n422 down
523.4000000000505 CONN n588 n615 down
525.2000000000509 CONN n729 n541 up
525.600000000051 CONN n816 n689 down
526.8000000000512 CONN n534 n199 up
534.1000000000529 CONN n813 n833 up
535.0000000000531 CONN n313 n513 down
537.2000000000536 CONN n729 n67 down
537.4000000000536 CONN n44 n313 up
539.9000000000542 CONN n271 n541 up
540.8000000000544 CONN n866 n478 up
540.9000000000544 CONN n210 n422 up
542.2000000000547 CONN n541 n448 up
543.9000000000551 CONN n534 n199 down
544.9000000000553 CONN n729 n693 down
546.4000000000557 CONN n541 n510 up
547.600000000056 CONN n729 n448 down
548.4000000000561 CONN n813 n833 down
548.6000000000562 CONN n513 n59 up
550.3000000000566 CONN n729 n413 up
550.4000000000566 CONN n541 n693 down
556.1000000000579 CONN n44 n313 down
557.4000000000582 CONN n513 n1032 up
559.9000000000588 CONN n1061 n313 up
560.4000000000589 CONN n590 n717 down
560.7000000000589 CONN n499 n882 down
562.7000000000594 CONN n510 n413 up
563.4000000000595 CONN n271 n67 down
568.4000000000607 CONN n213 n1024 up
570.7000000000612 CONN n510 n42 up
571.4000000000614 CONN n499 n57 down
572.0000000000615 CONN n422 n210 down
572.0000000000615 CONN n413 n541 up
573.2000000000618 CONN n1033 n374 up
573.8000000000619 CONN n882 n422 down
575.6000000000623 CONN n271 n510 down
576.0000000000624 CONN n500 n588 up
576.3000000000625 CONN n422 n57 down
576.7000000000626 CONN n499 n67 up
576.7000000000626 CONN n422 n67 up
576.8000000000626 CONN n513 n59 down
578.600000000063 CONN n67 n541 up
578.600000000063 CONN n510 n448 down
578.700000000063 CONN n413 n950 down
579.4000000000632 CONN n210 n25 down
580.4000000000634 CONN n271 n448 down
580.8000000000635 CONN n313 n1061 down
581.1000000000636 CONN n413 n448 up
581.1000000000636 CONN n510 n950 up
581.2000000000636 CONN n25 n57 down
581.5000000000637 CONN n75 n36 up
581.9000000000638 CONN n210 n57 down
582.0000000000638 CONN n510 n67 down
582.1000000000638 CONN n541 n729 down
583.6000000000641 CONN n271 n448 up
583.6000000000641 CONN n271 n413 up
584.3000000000643 CONN n67 n413 up
585.8000000000646 CONN n271 n729 down
586.1000000000647 CONN n25 n882 down
587.600000000065 CONN n478 n866 down
588.7000000000653 CONN n213 n1024 down
588.7000000000653 CONN n1032 n513 down
