1.0 C n79 M1
20736.099999978742 CONN n366 n230 up
20741.899999978657 CONN n178 n120 up
20743.299999978637 CONN n208 n153 down
20743.89999997863 CONN n146 n230 down
20746.399999978592 CONN n120 n158 down
20748.399999978563 CONN n296 n14 up
20748.999999978554 CONN n226 n173 down
20753.199999978493 CONN n131 n147 down
20755.099999978465 CONN n219 n78 down
20756.699999978442 CONN n208 n230 up
20760.699999978384 CONN n156 n78 down
20761.099999978378 CONN n78 n372 up
20763.199999978347 CONN n120 n180 down
20773.99999997819 CONN n373 n137 up
20774.09999997819 CONN n366 n230 down
20774.499999978183 CONN n373 n217 up
20777.39999997814 CONN n375 n150 down
20777.49999997814 CONN n207 n375 up
20781.299999978084 CONN n180 n373 down
20783.099999978058 CONN n168 n366 down
20785.79999997802 CONN n156 n372 up
20785.899999978017 CONN n156 n219 down
20786.29999997801 CONN n178 n158 up
20787.69999997799 CONN n207 n150 up
20788.39999997798 CONN n180 n178 up
20788.899999977973 CONN n215 n168 down
20788.999999977972 CONN n219 n227 up
20790.39999997795 CONN n280 n128 up
20793.19999997791 CONN n120 n178 down
20793.399999977908 CONN n372 n78 down
20793.399999977908 CONN n336 n318 up
20793.799999977902 CONN n153 n333 down
20794.099999977898 CONN n322 n303 up
20795.89999997787 CONN n74 n366 down
20799.699999977816 CONN n180 n217 up
20802.599999977774 CONN n230 n215 down
20806.99999997771 CONN n227 n185 down
20807.6999999777 CONN n375 n207 down
20809.299999977677 CONN n322 n303 down
20812.299999977633 CONN n168 n74 down
20818.199999977547 CONN n74 n208 up
20818.399999977544 CONN n217 n178 up
20819.699999977525 CONN n168 n230 down
20822.499999977485 CONN n318 n336 down
20826.399999977428 CONN n215 n74 down
20827.59999997741 CONN n373 n217 down
20828.99999997739 CONN n180 n137 up
20829.09999997739 CONN n208 n146 up
20830.499999977368 CONN n180 n158 down
20835.999999977288 CONN n227 n219 down
20839.599999977236 CONN n185 n219 up
20840.499999977223 CONN n208 n230 down
20841.099999977214 CONN n301 n246 up
20842.299999977196 CONN n178 n137 up
20844.999999977157 CONN n156 n372 down
20848.399999977108 CONN n173 n226 up
20849.099999977097 CONN n390 n180 up
20849.099999977097 CONN n390 n178 up
20849.099999977097 CONN n390 n158 up
20849.099999977097 CONN n390 n217 up
20849.69999997709 CONN n158 n217 up
20851.199999977067 CONN n226 n173 down
20854.599999977017 CONN n373 n366 up
20854.99999997701 CONN n184 n145 down
20855.999999976997 CONN n366 n215 down
20857.89999997697 CONN n373 n137 down
20858.49999997696 CONN n390 n217 down
20859.89999997694 CONN n180 n390 down
20860.299999976934 CONN n178 n158 down
20863.39999997689 CONN n74 n208 down
20863.99999997688 CONN n14 n296 down
20864.399999976875 CONN n230 n200 up
20868.19999997682 CONN n215 n373 up
20869.4999999768 CONN n178 n390 down
20872.799999976753 CONN n301 n246 down
20877.599999976683 CONN n373 n366 down
20878.099999976675 CONN n372 n227 up
20879.699999976652 CONN n390 n158 down
20881.499999976626 CONN n227 n213 up
20881.99999997662 CONN n217 n180 down
20884.999999976575 CONN n208 n146 down
20890.0999999765 CONN n164 n286 up
20892.399999976467 CONN n178 n217 down
20892.499999976466 CONN n215 n366 up
20893.099999976457 CONN n74 n200 up
20894.499999976437 CONN n213 n372 up
20897.899999976387 CONN n208 n373 up
20899.19999997637 CONN n78 n156 up
20900.699999976347 CONN n217 n137 down
20901.19999997634 CONN n296 n264 up
20906.799999976258 CONN n313 n307 down
20911.999999976182 CONN n333 n210 up
20913.59999997616 CONN n168 n219 up
20916.499999976117 CONN n180 n215 up
20916.599999976115 CONN n286 n164 down
20920.599999976057 CONN n215 n373 down
20931.199999975903 CONN n137 n215 up
20932.299999975887 CONN n215 n178 up
20936.699999975823 CONN n185 n168 up
20939.59999997578 CONN n268 n320 up
20945.0999999757 CONN n137 n158 up
20945.499999975695 CONN n213 n227 down
20945.79999997569 CONN n377 n349 up
20947.599999975664 CONN n180 n137 down
20949.799999975632 CONN n268 n320 down
20949.89999997563 CONN n215 n137 down
20951.099999975613 CONN n349 n377 down
20954.399999975565 CONN n296 n264 down
20954.499999975564 CONN n150 n207 down
20954.499999975564 CONN n227 n372 down
20959.399999975492 CONN n333 n210 down
20960.699999975473 CONN n215 n366 down
20969.89999997534 CONN n322 n375 up
20971.89999997531 CONN n74 n230 down
20974.69999997527 CONN n168 n219 down
20974.899999975267 CONN n373 n208 down
20975.099999975264 CONN n168 n185 down
20975.599999975257 CONN n230 n153 up
20977.799999975225 CONN n145 n184 up
20978.299999975217 CONN n196 n207 up
20983.299999975145 CONN n134 n261 up
20985.999999975105 CONN n180 n208 up
20986.099999975104 CONN n148 n262 up
20989.599999975053 CONN n137 n178 down
20991.79999997502 CONN n128 n268 up
20991.79999997502 CONN n280 n268 up
20991.999999975018 CONN n375 n322 down
20992.59999997501 CONN n343 n216 up
20993.299999975 CONN n230 n200 down
20993.499999974996 CONN n215 n180 down
20996.799999974948 CONN n156 n78 down
20998.79999997492 CONN n215 n137 up
