1.0 C n153 M1
21543.69999996699 CONN n207 n329 up
21543.899999966987 CONN n268 n211 down
21550.49999996689 CONN n207 n329 down
21553.699999966844 CONN n58 n452 up
21557.099999966795 CONN n460 n440 up
21572.299999966574 CONN n58 n452 down
21577.599999966496 CONN n440 n460 down
21587.59999996635 CONN n223 n423 up
21595.09999996624 CONN n423 n223 down
21599.599999966176 CONN n238 n42 up
21608.89999996604 CONN n453 n244 up
21609.899999966026 CONN n452 n219 up
21611.499999966003 CONN n360 n208 up
21619.499999965887 CONN n219 n452 down
21620.299999965875 CONN n453 n244 down
21620.69999996587 CONN n208 n360 down
21633.999999965676 CONN n433 n315 up
21637.699999965622 CONN n429 n58 up
21639.0999999656 CONN n238 n42 down
21639.89999996559 CONN n315 n433 down
21651.699999965418 CONN n196 n423 up
21651.699999965418 CONN n58 n429 down
21664.499999965232 CONN n423 n223 up
21667.199999965193 CONN n196 n223 up
21669.699999965156 CONN n423 n223 down
21671.59999996513 CONN n370 n392 up
21673.399999965102 CONN n196 n223 down
21675.099999965078 CONN n423 n196 down
21677.499999965043 CONN n370 n392 down
21678.599999965027 CONN n166 n207 up
21681.89999996498 CONN n207 n166 down
21684.59999996494 CONN n134 n371 up
21699.499999964723 CONN n134 n371 down
21721.899999964397 CONN n322 n182 up
21722.099999964394 CONN n475 n335 up
21725.999999964337 CONN n182 n322 down
21726.49999996433 CONN n318 n145 up
21732.999999964235 CONN n318 n145 down
21737.599999964168 CONN n220 n275 up
21741.399999964113 CONN n334 n328 up
21741.799999964107 CONN n440 n460 up
21745.09999996406 CONN n429 n440 up
21746.49999996404 CONN n328 n334 down
21748.899999964004 CONN n275 n220 down
21749.099999964 CONN n460 n429 up
21749.599999963993 CONN n386 n323 up
21753.29999996394 CONN n460 n429 down
21755.8999999639 CONN n429 n440 down
21755.9999999639 CONN n386 n323 down
21764.699999963774 CONN n440 n360 up
21769.399999963705 CONN n360 n460 up
21774.49999996363 CONN n440 n360 down
21778.299999963576 CONN n203 n402 up
21778.499999963573 CONN n460 n440 down
21779.599999963557 CONN n460 n360 down
21780.399999963545 CONN n203 n402 down
21780.79999996354 CONN n475 n335 down
21791.599999963382 CONN n120 n261 up
21797.099999963302 CONN n482 n211 up
21798.899999963276 CONN n120 n261 down
21803.999999963202 CONN n482 n211 down
21812.29999996308 CONN n244 n440 up
21821.99999996294 CONN n367 n217 up
21825.39999996289 CONN n238 n207 up
21829.199999962835 CONN n367 n217 down
21829.299999962834 CONN n440 n244 down
21831.799999962797 CONN n223 n161 up
21836.599999962727 CONN n161 n223 down
21864.49999996232 CONN n238 n207 down
21865.8999999623 CONN n181 n219 up
21873.49999996219 CONN n219 n181 down
21878.199999962122 CONN n246 n452 up
21878.99999996211 CONN n460 n440 up
21879.09999996211 CONN n205 n460 up
21884.199999962035 CONN n254 n286 up
21884.49999996203 CONN n246 n452 down
21885.29999996202 CONN n440 n205 up
21886.199999962006 CONN n205 n460 down
21887.39999996199 CONN n408 n390 up
21890.499999961943 CONN n286 n254 down
21892.399999961915 CONN n460 n440 down
21895.699999961867 CONN n390 n408 down
21902.49999996177 CONN n429 n360 up
21909.499999961667 CONN n440 n205 down
21928.299999961393 CONN n134 n120 up
21928.999999961383 CONN n343 n42 up
21931.19999996135 CONN n114 n212 up
21932.69999996133 CONN n42 n343 down
21934.09999996131 CONN n120 n134 down
21935.899999961282 CONN n137 n408 up
21940.599999961214 CONN n408 n137 down
21949.19999996109 CONN n440 n205 up
21949.499999961085 CONN n360 n429 down
21953.699999961023 CONN n137 n390 up
21960.499999960924 CONN n137 n390 down
21962.2999999609 CONN n114 n212 down
21966.29999996084 CONN n78 n373 up
21971.09999996077 CONN n405 n261 up
21977.39999996068 CONN n78 n373 down
21979.39999996065 CONN n405 n261 down
21995.299999960418 CONN n455 n176 up
21996.999999960393 CONN n460 n244 up
21999.89999996035 CONN n176 n455 down
22001.599999960326 CONN n213 n244 up
22004.299999960287 CONN n319 n402 up
22005.099999960275 CONN n440 n205 down
22006.19999996026 CONN n319 n402 down
22008.29999996023 CONN n182 n468 up
22011.69999996018 CONN n213 n244 down
22019.699999960063 CONN n244 n460 down
22029.399999959922 CONN n468 n182 down
22031.999999959884 CONN n440 n320 up
22041.19999995975 CONN n495 n286 up
22043.19999995972 CONN n440 n320 down
22048.19999995965 CONN n498 n181 up
22058.4999999595 CONN n320 n205 up
22064.199999959415 CONN n193 n58 up
22066.59999995938 CONN n495 n286 down
22069.29999995934 CONN n498 n181 down
22074.399999959267 CONN n193 n58 down
22077.999999959215 CONN n320 n205 down
22078.699999959204 CONN n288 n367 up
22086.49999995909 CONN n460 n193 up
22088.899999959056 CONN n432 n152 up
22093.099999958995 CONN n193 n460 down
22095.49999995896 CONN n367 n288 down
22096.399999958947 CONN n120 n473 up
22097.199999958935 CONN n226 n152 up
22102.599999958857 CONN n120 n473 down
22103.199999958848 CONN n432 n226 up
22111.99999995872 CONN n302 n299 up
22116.69999995865 CONN n313 n333 up
22118.999999958618 CONN n299 n302 down
22121.799999958577 CONN n152 n432 down
22122.89999995856 CONN n313 n333 down
22123.199999958557 CONN n440 n213 up
